0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.028,0.011,0.020,0.012,0.163,0.144,0.115,0.113,0.100,0.089,0.130,0.068,0.110,0.109,0.072,0.060,0.059,0.121,0.096,0.065,0.066,0.059,0.091,0.080,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.028,0.011,0.019,0.012,0.166,0.148,0.115,0.110,0.098,0.087,0.124,0.065,0.114,0.110,0.073,0.061,0.060,0.122,0.100,0.067,0.068,0.060,0.091,0.080,0.104,0.046,0.046
0.008,0.002,0.017,0.011,0.033,0.059,0.033,0.034,0.038,0.201,0.077,0.117,0.088,0.229,0.179,0.134,0.138,0.105,0.093,0.114,0.067,0.133,0.144,0.087,0.060,0.060,0.131,0.109,0.069,0.071,0.062,0.082,0.072,0.095,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.028,0.011,0.018,0.012,0.171,0.153,0.116,0.108,0.096,0.085,0.120,0.063,0.118,0.112,0.074,0.062,0.061,0.122,0.104,0.068,0.069,0.060,0.092,0.080,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.026,0.010,0.015,0.011,0.177,0.158,0.118,0.101,0.090,0.080,0.112,0.058,0.119,0.115,0.075,0.061,0.061,0.123,0.108,0.069,0.071,0.062,0.092,0.080,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.027,0.010,0.016,0.012,0.169,0.156,0.116,0.102,0.094,0.083,0.115,0.060,0.114,0.111,0.073,0.061,0.061,0.122,0.107,0.069,0.070,0.062,0.091,0.081,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.028,0.010,0.016,0.012,0.176,0.160,0.118,0.102,0.093,0.081,0.113,0.059,0.118,0.113,0.075,0.062,0.061,0.122,0.108,0.069,0.070,0.062,0.092,0.080,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.028,0.011,0.018,0.012,0.167,0.158,0.115,0.105,0.099,0.086,0.119,0.062,0.115,0.111,0.073,0.061,0.061,0.122,0.109,0.070,0.070,0.062,0.091,0.080,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.028,0.010,0.017,0.012,0.169,0.153,0.117,0.105,0.095,0.084,0.119,0.062,0.114,0.111,0.073,0.060,0.060,0.122,0.104,0.067,0.069,0.061,0.092,0.081,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.026,0.010,0.016,0.011,0.175,0.154,0.116,0.107,0.094,0.082,0.118,0.061,0.120,0.115,0.075,0.062,0.061,0.124,0.103,0.068,0.068,0.060,0.092,0.080,0.104,0.046,0.046
0.006,0.002,0.014,0.010,0.026,0.049,0.025,0.030,0.034,0.187,0.072,0.101,0.083,0.234,0.178,0.130,0.133,0.098,0.083,0.106,0.060,0.144,0.158,0.091,0.061,0.061,0.139,0.110,0.071,0.070,0.061,0.083,0.073,0.096,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.028,0.010,0.014,0.012,0.183,0.171,0.121,0.096,0.089,0.076,0.104,0.054,0.121,0.115,0.076,0.062,0.062,0.123,0.115,0.072,0.072,0.062,0.092,0.080,0.104,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.027,0.010,0.016,0.011,0.170,0.160,0.118,0.103,0.096,0.082,0.117,0.061,0.113,0.111,0.073,0.060,0.060,0.122,0.106,0.069,0.069,0.061,0.091,0.080,0.104,0.046,0.046
0.008,0.002,0.018,0.012,0.032,0.057,0.030,0.035,0.039,0.198,0.075,0.107,0.087,0.238,0.181,0.133,0.135,0.100,0.086,0.108,0.062,0.145,0.158,0.091,0.062,0.062,0.139,0.112,0.071,0.071,0.062,0.084,0.073,0.097,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.027,0.010,0.016,0.012,0.173,0.161,0.118,0.102,0.095,0.082,0.114,0.060,0.116,0.112,0.074,0.061,0.061,0.123,0.109,0.070,0.071,0.062,0.092,0.080,0.104,0.046,0.046
0.006,0.002,0.015,0.010,0.027,0.051,0.028,0.031,0.035,0.194,0.074,0.108,0.085,0.239,0.179,0.133,0.139,0.101,0.087,0.112,0.064,0.145,0.160,0.091,0.062,0.062,0.140,0.107,0.070,0.069,0.061,0.084,0.073,0.097,0.046,0.046
0.006,0.002,0.015,0.010,0.027,0.050,0.026,0.031,0.034,0.190,0.073,0.104,0.083,0.236,0.179,0.132,0.136,0.100,0.084,0.108,0.062,0.144,0.157,0.091,0.062,0.062,0.138,0.108,0.070,0.069,0.061,0.083,0.073,0.096,0.046,0.046
0.008,0.002,0.017,0.012,0.032,0.058,0.034,0.035,0.038,0.200,0.076,0.120,0.087,0.237,0.174,0.133,0.147,0.105,0.094,0.117,0.069,0.140,0.151,0.090,0.061,0.061,0.132,0.105,0.068,0.070,0.061,0.082,0.072,0.095,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.026,0.009,0.014,0.011,0.173,0.167,0.118,0.094,0.091,0.078,0.107,0.055,0.114,0.113,0.073,0.060,0.060,0.124,0.115,0.072,0.072,0.063,0.093,0.081,0.105,0.046,0.047
0.000,0.000,0.000,0.001,0.000,0.002,0.001,0.001,0.001,0.028,0.010,0.017,0.012,0.172,0.157,0.117,0.104,0.095,0.082,0.116,0.061,0.117,0.112,0.074,0.061,0.061,0.122,0.105,0.069,0.068,0.060,0.091,0.080,0.104,0.046,0.046
0.005,0.001,0.012,0.009,0.023,0.046,0.023,0.027,0.032,0.185,0.070,0.099,0.082,0.241,0.180,0.134,0.136,0.098,0.086,0.110,0.062,0.145,0.166,0.092,0.061,0.061,0.148,0.112,0.070,0.072,0.063,0.087,0.075,0.100,0.047,0.047
0.007,0.002,0.014,0.010,0.028,0.053,0.027,0.032,0.034,0.191,0.073,0.103,0.083,0.234,0.182,0.132,0.131,0.099,0.085,0.106,0.061,0.142,0.149,0.089,0.062,0.062,0.132,0.111,0.071,0.071,0.062,0.083,0.072,0.095,0.046,0.046
0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.001,0.028,0.010,0.014,0.011,0.182,0.170,0.121,0.096,0.089,0.077,0.105,0.055,0.119,0.114,0.075,0.061,0.061,0.122,0.113,0.071,0.072,0.062,0.091,0.081,0.104,0.046,0.046
0.007,0.002,0.016,0.011,0.030,0.055,0.028,0.033,0.036,0.195,0.074,0.106,0.085,0.237,0.181,0.133,0.136,0.100,0.087,0.108,0.063,0.143,0.155,0.091,0.061,0.061,0.136,0.111,0.071,0.071,0.062,0.083,0.073,0.096,0.046,0.046
