0.005,0.001,0.021,0.020,0.020,0.020,0.137,0.140,0.139,0.137,0.138,0.137,0.140,0.037,0.056,0.060,0.061,0.061,0.060,0.336,0.271,0.269,0.275,0.331,0.331,0.329,0.333,0.335,0.333
0.003,0.001,0.011,0.010,0.010,0.010,0.137,0.136,0.135,0.136,0.137,0.138,0.135,0.041,0.048,0.050,0.051,0.052,0.052,0.341,0.290,0.292,0.299,0.336,0.322,0.329,0.329,0.333,0.332
0.006,0.001,0.024,0.023,0.023,0.023,0.138,0.138,0.138,0.138,0.139,0.138,0.139,0.040,0.064,0.068,0.067,0.067,0.068,0.331,0.267,0.267,0.273,0.328,0.334,0.330,0.328,0.332,0.336
0.005,0.001,0.022,0.021,0.021,0.021,0.134,0.136,0.135,0.133,0.136,0.137,0.135,0.036,0.053,0.057,0.057,0.058,0.055,0.339,0.275,0.274,0.277,0.333,0.334,0.330,0.327,0.333,0.322
0.006,0.001,0.025,0.024,0.024,0.024,0.141,0.141,0.141,0.141,0.141,0.140,0.141,0.037,0.057,0.060,0.060,0.062,0.061,0.333,0.269,0.271,0.274,0.330,0.333,0.325,0.323,0.337,0.333
0.006,0.001,0.023,0.022,0.022,0.022,0.140,0.141,0.141,0.141,0.142,0.141,0.142,0.034,0.051,0.056,0.055,0.057,0.055,0.345,0.270,0.271,0.275,0.337,0.331,0.322,0.320,0.337,0.329
0.004,0.001,0.019,0.019,0.019,0.019,0.135,0.134,0.136,0.135,0.133,0.134,0.133,0.033,0.051,0.054,0.053,0.056,0.054,0.333,0.268,0.266,0.273,0.328,0.326,0.319,0.318,0.337,0.328
0.006,0.001,0.024,0.022,0.023,0.022,0.140,0.140,0.140,0.141,0.141,0.139,0.140,0.037,0.055,0.059,0.058,0.060,0.059,0.338,0.271,0.271,0.275,0.333,0.334,0.320,0.322,0.338,0.332
0.003,0.001,0.011,0.011,0.011,0.011,0.134,0.136,0.134,0.133,0.136,0.135,0.133,0.042,0.050,0.055,0.054,0.054,0.055,0.336,0.291,0.291,0.295,0.334,0.334,0.331,0.330,0.333,0.335
0.005,0.001,0.023,0.021,0.021,0.021,0.139,0.139,0.140,0.140,0.141,0.139,0.139,0.035,0.053,0.056,0.057,0.058,0.058,0.335,0.271,0.274,0.276,0.333,0.332,0.322,0.321,0.335,0.335
0.005,0.001,0.022,0.021,0.021,0.022,0.140,0.137,0.137,0.140,0.138,0.140,0.140,0.035,0.054,0.058,0.057,0.059,0.058,0.336,0.266,0.270,0.273,0.331,0.333,0.324,0.323,0.336,0.329
0.003,0.001,0.013,0.012,0.012,0.012,0.141,0.143,0.141,0.141,0.142,0.142,0.141,0.040,0.049,0.052,0.049,0.053,0.052,0.337,0.291,0.290,0.295,0.333,0.334,0.318,0.318,0.335,0.333
0.003,0.001,0.012,0.012,0.012,0.012,0.139,0.138,0.137,0.138,0.137,0.137,0.139,0.042,0.050,0.054,0.053,0.055,0.054,0.344,0.290,0.292,0.298,0.336,0.334,0.331,0.329,0.334,0.331
0.004,0.001,0.020,0.019,0.019,0.019,0.132,0.132,0.132,0.132,0.133,0.132,0.131,0.035,0.052,0.055,0.056,0.056,0.056,0.333,0.268,0.272,0.275,0.329,0.325,0.327,0.325,0.331,0.332
0.005,0.001,0.022,0.020,0.020,0.020,0.139,0.141,0.138,0.138,0.139,0.139,0.139,0.033,0.050,0.055,0.055,0.054,0.054,0.337,0.272,0.269,0.275,0.332,0.334,0.329,0.329,0.331,0.330
0.005,0.001,0.022,0.021,0.021,0.021,0.142,0.140,0.141,0.142,0.141,0.142,0.141,0.035,0.053,0.056,0.056,0.057,0.057,0.337,0.272,0.273,0.276,0.332,0.330,0.326,0.322,0.335,0.330
0.005,0.001,0.021,0.020,0.020,0.020,0.136,0.134,0.136,0.135,0.134,0.133,0.135,0.036,0.054,0.057,0.057,0.058,0.058,0.339,0.272,0.274,0.276,0.335,0.328,0.325,0.327,0.331,0.333
0.003,0.001,0.012,0.011,0.011,0.012,0.140,0.139,0.139,0.138,0.137,0.138,0.138,0.042,0.050,0.055,0.052,0.055,0.054,0.333,0.295,0.295,0.298,0.329,0.337,0.324,0.327,0.335,0.334
0.003,0.001,0.012,0.012,0.012,0.012,0.138,0.140,0.140,0.139,0.140,0.139,0.139,0.042,0.050,0.054,0.052,0.052,0.054,0.339,0.294,0.291,0.298,0.334,0.335,0.322,0.324,0.324,0.334
0.005,0.001,0.022,0.021,0.021,0.021,0.139,0.139,0.141,0.138,0.139,0.140,0.138,0.036,0.052,0.056,0.055,0.056,0.056,0.335,0.275,0.278,0.278,0.331,0.330,0.318,0.315,0.331,0.332
